days,x,y,z,popval,m1,m2,m3,m4
1,4,5,2,1,0.824169129,0.824169129,0.824169129,0.824169129
1,4,5,3,1,0.843886997,0.843886997,0.843886997,0.843886997
1,4,6,0,1,0.804617139,0.804617139,0.804617139,0.804617139
1,4,6,1,1,0.846939064,0.846939064,0.846939064,0.846939064
1,4,6,2,1,0.838973884,0.838973884,0.838973884,0.838973884
1,4,6,3,1,0.897974838,0.897974838,0.897974838,0.897974838
1,4,7,0,1,0.827692298,0.827692298,0.827692298,0.827692298
1,4,7,1,1,0.856882366,0.856882366,0.856882366,0.856882366
1,4,7,2,1,0.878025207,0.878025207,0.878025207,0.878025207
1,4,7,3,1,0.890488097,0.890488097,0.890488097,0.890488097
1,5,0,0,1,0.864631301,0.864631301,0.864631301,0.864631301
1,5,0,1,1,0.808382138,0.808382138,0.808382138,0.808382138
1,5,0,2,1,0.816899003,0.816899003,0.816899003,0.816899003
1,5,0,3,1,0.850785828,0.850785828,0.850785828,0.850785828
1,5,1,0,1,0.84455862,0.84455862,0.84455862,0.84455862
1,5,1,1,1,0.84505416,0.84505416,0.84505416,0.84505416
1,5,1,2,1,0.80430238,0.80430238,0.80430238,0.80430238
1,5,1,3,1,0.842416676,0.842416676,0.842416676,0.842416676
1,5,2,0,1,0.84897644,0.84897644,0.84897644,0.84897644
1,5,2,1,1,0.874815159,0.874815159,0.874815159,0.874815159
1,5,2,2,1,0.801540344,0.801540344,0.801540344,0.801540344
1,5,2,3,1,0.83187783,0.83187783,0.83187783,0.83187783
1,5,3,0,1,0.81868726,0.81868726,0.81868726,0.81868726
1,5,3,1,1,0.86892145,0.86892145,0.86892145,0.86892145
1,5,3,2,1,0.882119404,0.882119404,0.882119404,0.882119404
1,5,3,3,1,0.829667587,0.829667587,0.829667587,0.829667587
1,5,4,0,1,0.87951999,0.87951999,0.87951999,0.87951999
1,5,4,1,1,0.86540791,0.86540791,0.86540791,0.86540791
1,5,4,2,1,0.835315857,0.835315857,0.835315857,0.835315857
1,5,4,3,1,0.811741765,0.811741765,0.811741765,0.811741765
1,5,5,0,1,0.876551679,0.876551679,0.876551679,0.876551679
1,5,5,1,1,0.826297128,0.826297128,0.826297128,0.826297128
1,5,5,2,1,0.823477991,0.823477991,0.823477991,0.823477991
1,5,5,3,1,0.822174673,0.822174673,0.822174673,0.822174673
1,5,6,0,1,0.838155846,0.838155846,0.838155846,0.838155846
1,5,6,1,1,0.860198194,0.860198194,0.860198194,0.860198194
1,5,6,2,1,0.3,0.5,0.7,0.6
1,5,6,3,1,0.3,0.5,0.7,0.6
1,5,7,0,1,0.843874436,0.843874436,0.843874436,0.843874436
1,5,7,1,1,0.816564873,0.816564873,0.816564873,0.816564873
1,5,7,2,1,0.3,0.5,0.7,0.6
1,5,7,3,1,0.3,0.5,0.7,0.6
1,6,0,0,1,0.849836405,0.849836405,0.849836405,0.849836405
1,6,0,1,1,0.844267827,0.844267827,0.844267827,0.844267827
